ダウンロードした時刻：2026/08/14 03:28:19

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均湿度(％),平均湿度(％),平均湿度(％),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,3.3,8,1,2.5,0,8,1,5.3,0,8,1,67,8,1,6.3,8,1
2011/1/2,6.0,8,1,0.0,0,8,1,6.9,0,8,1,66,8,1,3.2,8,1
2011/1/3,5.1,8,1,0,1,8,1,4.3,0,8,1,68,8,1,2.4,8,1
2011/1/4,6.6,8,1,0,1,8,1,6.1,0,8,1,59,8,1,3.1,8,1
2011/1/5,6.2,8,1,0.5,0,8,1,1.0,0,8,1,68,8,1,3.2,8,1
2011/1/6,5.2,8,1,0.0,0,8,1,4.2,0,8,1,63,8,1,4.4,8,1
2011/1/7,3.6,8,1,0.0,0,8,1,5.8,0,8,1,60,8,1,4.5,8,1
2011/1/8,5.2,8,1,0,1,8,1,9.2,0,8,1,60,8,1,2.5,8,1
2011/1/9,6.6,8,1,0.0,0,8,1,5.7,0,8,1,59,8,1,4.7,8,1
2011/1/10,2.8,8,1,0.0,0,8,1,5.1,0,8,1,61,8,1,4.9,8,1
2011/1/11,4.2,8,1,0.0,0,8,1,9.3,0,8,1,58,8,1,2.7,8,1
2011/1/12,4.9,8,1,0.0,0,8,1,9.2,0,8,1,55,8,1,5.4,8,1
2011/1/13,4.5,8,1,0,1,8,1,9.2,0,8,1,58,8,1,4.1,8,1
2011/1/14,4.8,8,1,0,1,8,1,7.9,0,8,1,53,8,1,3.6,8,1
2011/1/15,4.2,8,1,0.0,0,8,1,0.9,0,8,1,56,8,1,5.3,8,1
2011/1/16,-0.3,8,1,0.0,0,8,1,5.8,0,8,1,57,8,1,7.1,8,1
2011/1/17,3.1,8,1,0.0,0,8,1,6.9,0,8,1,64,8,1,5.5,8,1
2011/1/18,4.7,8,1,0,1,8,1,7.9,0,8,1,54,8,1,4.2,8,1
2011/1/19,4.5,8,1,0,1,8,1,6.9,0,8,1,51,8,1,4.5,8,1
2011/1/20,3.8,8,1,0,1,8,1,5.4,0,8,1,54,8,1,4.0,8,1
2011/1/21,4.3,8,1,0,1,8,1,5.7,0,8,1,63,8,1,2.5,8,1
2011/1/22,5.6,8,1,0,1,8,1,8.3,0,8,1,54,8,1,4.2,8,1
2011/1/23,5.3,8,1,0.0,0,8,1,3.8,0,8,1,59,8,1,3.1,8,1
2011/1/24,5.3,8,1,0.0,0,8,1,5.9,0,8,1,63,8,1,4.0,8,1
2011/1/25,4.6,8,1,0.0,0,8,1,4.8,0,8,1,64,8,1,3.8,8,1
2011/1/26,3.7,8,1,0,1,8,1,6.6,0,8,1,54,8,1,4.6,8,1
2011/1/27,3.3,8,1,0.0,0,8,1,6.0,0,8,1,58,8,1,4.8,8,1
2011/1/28,3.7,8,1,0.0,0,8,1,4.4,0,8,1,60,8,1,3.1,8,1
2011/1/29,3.5,8,1,0.0,0,8,1,7.3,0,8,1,55,8,1,4.1,8,1
2011/1/30,0.5,8,1,0.0,0,8,1,6.7,0,8,1,49,8,1,6.7,8,1
2011/1/31,1.2,8,1,0,1,8,1,9.7,0,8,1,51,8,1,5.7,8,1
2011/2/1,5.2,8,1,0,1,8,1,7.4,0,8,1,55,8,1,3.7,8,1
2011/2/2,6.4,8,1,0,1,8,1,6.7,0,8,1,62,8,1,2.3,8,1
2011/2/3,6.5,8,1,0,1,8,1,9.9,0,8,1,57,8,1,1.7,8,1
2011/2/4,7.5,8,1,0,1,8,1,9.4,0,8,1,57,8,1,2.1,8,1
2011/2/5,7.1,8,1,0,1,8,1,1.7,0,8,1,63,8,1,1.5,8,1
2011/2/6,8.1,8,1,0,1,8,1,5.5,0,8,1,65,8,1,2.2,8,1
2011/2/7,8.1,8,1,0,1,8,1,4.2,0,8,1,57,8,1,3.5,8,1
2011/2/8,6.7,8,1,6.5,0,8,1,4.5,0,8,1,69,8,1,2.9,8,1
2011/2/9,7.6,8,1,2.0,0,8,1,3.7,0,8,1,70,8,1,4.4,8,1
2011/2/10,5.0,8,1,0.0,0,8,1,4.9,0,8,1,62,8,1,5.0,5,1
2011/2/11,2.9,8,1,0.5,0,8,1,0.6,0,8,1,80,8,1,4.3,8,1
2011/2/12,3.8,8,1,0.0,0,8,1,2.3,0,8,1,73,8,1,2.8,8,1
2011/2/13,3.5,8,1,0.0,0,8,1,5.7,0,8,1,60,8,1,2.6,8,1
2011/2/14,2.6,8,1,8.0,0,8,1,0.1,0,8,1,78,8,1,4.5,8,1
2011/2/15,4.4,8,1,0.0,0,8,1,4.6,0,8,1,68,8,1,4.0,8,1
2011/2/16,5.2,8,1,0,1,8,1,9.9,0,8,1,57,8,1,2.3,8,1
2011/2/17,10.5,8,1,14.0,0,8,1,0.4,0,8,1,64,8,1,5.7,8,1
2011/2/18,8.0,8,1,7.5,0,8,1,3.6,0,8,1,63,8,1,4.6,8,1
2011/2/19,6.3,8,1,0,1,8,1,8.3,0,8,1,54,8,1,2.8,8,1
2011/2/20,7.5,8,1,0,1,8,1,1.0,0,8,1,56,8,1,2.3,8,1
2011/2/21,8.4,8,1,0,1,8,1,10.4,0,8,1,55,8,1,2.8,8,1
2011/2/22,8.8,8,1,0,1,8,1,10.5,0,8,1,61,8,1,1.7,8,1
2011/2/23,11.4,8,1,0.0,0,8,1,5.2,0,8,1,56,8,1,4.0,8,1
2011/2/24,13.4,8,1,0.0,0,8,1,0.1,0,8,1,72,8,1,3.2,8,1
2011/2/25,13.0,8,1,0,1,8,1,4.3,0,8,1,70,8,1,3.5,8,1
2011/2/26,8.5,8,1,0,1,8,1,10.5,0,8,1,48,8,1,4.1,8,1
2011/2/27,12.6,8,1,1.5,0,8,1,7.0,0,8,1,63,8,1,2.9,8,1
2011/2/28,11.8,8,1,39.0,0,8,1,1.8,0,8,1,86,8,1,3.4,8,1
2011/3/1,8.4,8,1,5.5,0,8,1,0.0,0,8,1,85,8,1,2.2,8,1
2011/3/2,7.4,8,1,0.0,0,8,1,3.4,0,8,1,68,8,1,4.3,8,1
2011/3/3,3.5,8,1,0.0,0,8,1,4.6,0,8,1,61,8,1,3.8,8,1
